sub,covid_emo_distress_1_1,covid_emo_distress_1_2,covid_emo_distress_1_3,covid_emo_distress_1_4,covid_emo_distress_1_5,covid_emo_distress_1_6,covid_emo_distress_1_7,covid_emo_distress_1_8,covid_emo_distress_2_1,covid_emo_distress_2_2,covid_emo_distress_2_3,covid_emo_distress_2_4,covid_emo_distress_2_5,covid_emo_distress_2_6,covid_emo_distress_2_7
1,63,71,69,36,59,38,58,64,70,68,67,60,48,44,69
2,100,17,41,90,65,41,15,27,88,88,59,87,88,4,82
3,28,83,10,13,17,28,8,18,19,15,3,10,12,65,10
4,32,77,47,84,39,20,18,25,18,11,7,5,11,40,16
5,100,0,100,100,100,100,100,100,20,70,20,40,20,70,15
6,60,40,95,80,45,15,90,100,59,65,40,65,55,45,35
7,96,15,10,67,84,89,79,81,67,72,25,82,82,4,35
8,70,31,33,38,65,58,51,68,60,51,35,51,74,38,59
9,60,34,0,95,70,0,0,0,30,41,14,78,15,6,0
10,78,60,69,99,88,80,8,24,98,91,88,83,97,22,73
11,100,26,100,100,100,0,23,0,100,100,100,99,99,8,98
12,34,76,56,74,29,32,29,40,50,41,35,63,30,41,35
13,76,11,39,85,56,29,76,88,36,69,41,60,52,39,32
14,80,30,30,60,0,70,0,40,80,21,20,38,70,8,100
15,82,6,65,54,69,32,46,45,41,61,53,70,56,33,52
16,100,14,100,100,100,100,0,100,73,100,74,91,80,13,88
17,62,66,27,97,28,74,26,65,30,41,44,44,41,26,37
18,72,27,62,77,48,58,0,64,59,53,58,59,43,58,52
19,93,11,81,74,7,96,94,95,6,78,79,72,66,22,86
20,76,37,78,100,74,0,0,87,29,42,48,54,46,35,42
21,69,62,23,58,36,70,19,29,33,39,40,68,60,28,36
22,79,5,55,69,70,62,14,21,83,80,76,85,83,0,32
23,62,89,5,60,6,7,1,2,30,6,7,7,43,62,3
24,78,0,61,80,52,16,0,60,52,40,39,54,57,20,35
25,76,36,36,77,46,60,0,35,50,60,60,60,61,55,0
26,90,12,65,98,74,72,52,74,5,16,22,19,26,0,7
27,10,90,10,10,10,10,10,20,0,5,0,5,0,80,5
28,60,27,70,84,45,25,25,31,53,43,33,31,64,40,56
29,81,27,90,100,59,30,83,92,76,87,94,88,73,20,73
30,95,24,75,100,100,13,100,100,92,88,14,92,84,3,100
31,100,9,100,100,81,24,0,0,73,95,100,100,97,46,88
32,9,57,6,67,80,0,0,90,5,3,7,5,2,82,0
33,100,4,96,100,89,13,100,100,78,98,89,99,96,3,66
34,100,0,100,100,100,0,0,69,100,100,100,100,100,0,100
